"time","CR","HM","HT"
"03/02/2025 10:30:56","929","21.7","31.8"
"03/02/2025 10:35:57","921","21.5","31.9"
"03/02/2025 10:40:56","915","21.5","32"
"03/02/2025 10:45:58","911","21.3","32.2"
"03/02/2025 10:50:58","904","21","32.2"
"03/02/2025 10:55:58","902","21.2","32.1"
"03/02/2025 11:00:58","918","21.4","32.1"
"03/02/2025 11:05:59","894","21.8","31.8"
"03/02/2025 11:09:37","903","22.1","31.5"
"03/02/2025 11:10:52","905","22.2","31.5"
"03/02/2025 11:15:52","900","22.1","31.6"
"03/02/2025 11:20:52","894","21.9","31.7"
"03/02/2025 11:25:52","904","22.2","31.7"
"03/02/2025 11:30:53","898","22.2","31.9"
"03/02/2025 11:35:52","900","22","32"
"03/02/2025 11:44:55","915","22","32"
"03/02/2025 11:52:57","890","22.1","32.2"
"03/02/2025 12:00:13","909","22","32.2"
"04/02/2025 07:58:34","966","48","18.8"
"04/02/2025 08:03:00","950","48.8","18.3"
"04/02/2025 08:05:15","945","48.9","18.4"
"04/02/2025 08:10:16","937","48.8","18.4"
"04/02/2025 08:15:16","946","48.8","18.5"
"04/02/2025 08:20:15","931","48.7","18.6"
"04/02/2025 08:25:15","921","48.6","18.7"
"04/02/2025 08:30:16","921","48.5","18.8"
"04/02/2025 08:35:16","930","48.4","18.9"
"04/02/2025 08:40:17","917","48.3","19"
"04/02/2025 08:45:16","912","48.2","19"
"04/02/2025 08:50:16","928","46.8","20.8"
"04/02/2025 08:55:16","904","40.3","23.5"
"04/02/2025 09:00:15","913","37.1","24.9"
"04/02/2025 09:05:15","906","35.3","25.8"
"04/02/2025 09:10:14","931","33.8","26.7"
"04/02/2025 09:15:14","888","32.3","27.6"
"04/02/2025 09:20:14","915","31.2","28.2"
"04/02/2025 09:25:14","926","33","27.4"
"04/02/2025 09:29:58","822","38.6","22.8"
"04/02/2025 09:34:59","822","42.3","21"
"04/02/2025 09:39:59","824","44.2","20.4"
"04/02/2025 09:44:58","830","45.2","20.1"
"04/02/2025 10:05:15","831","46.2","20"
"04/02/2025 10:09:59","830","46.2","20.1"
"04/02/2025 10:14:58","815","46.2","20.1"
"04/02/2025 10:19:58","830","46.4","20.1"
"04/02/2025 10:24:58","826","46.4","20.1"
"04/02/2025 10:44:57","838","46.5","20.3"
"04/02/2025 11:04:59","830","46.7","20.3"
"04/02/2025 11:09:59","829","46.6","20.3"
"04/02/2025 11:14:58","830","46.6","20.4"
"04/02/2025 11:19:59","826","40.8","24.4"
"04/02/2025 11:25:15","906","34.7","27.3"
"04/02/2025 11:30:15","901","31.7","29"
"04/02/2025 11:35:14","895","30","30.1"
"04/02/2025 11:40:14","910","28.7","30.9"
"04/02/2025 11:45:15","899","28","31.3"
"04/02/2025 11:49:58","916","27.6","31.6"
"04/02/2025 11:54:58","895","27.1","31.9"
"04/02/2025 11:59:59","887","26.8","32.1"
"04/02/2025 12:04:58","911","26.6","32.4"
"04/02/2025 12:06:14","909","26.6","32.4"
"04/02/2025 12:11:13","908","26.3","32.6"
"04/02/2025 12:16:14","912","26","32.8"
"04/02/2025 12:21:14","894","25.8","33"
"04/02/2025 12:26:14","913","25.5","33.1"
"04/02/2025 12:31:13","919","25.3","33.3"
"04/02/2025 12:36:13","897","25.1","33.5"
"04/02/2025 12:41:14","887","25.2","33.5"
"04/02/2025 12:46:13","886","25.1","33.5"
"04/02/2025 12:51:13","916","24.9","33.7"
"04/02/2025 12:56:13","890","24.8","33.7"
"04/02/2025 13:01:13","912","24.8","33.7"
"04/02/2025 13:04:58","898","24.8","33.6"
"04/02/2025 13:06:14","915","24.9","33.7"
"04/02/2025 13:11:14","892","24.7","33.8"
"04/02/2025 13:16:12","898","24.7","33.9"
"04/02/2025 13:21:12","894","24.7","33.9"
"04/02/2025 13:26:12","886","24.6","33.9"
"04/02/2025 13:31:11","908","24.5","34"
"04/02/2025 13:36:13","905","24.4","34"
"04/02/2025 13:41:12","905","24.3","34.1"
"04/02/2025 13:46:12","894","24.4","34"
"04/02/2025 13:51:12","899","24.4","34"
"04/02/2025 13:56:12","882","24.4","33.9"
"04/02/2025 14:01:11","902","24.2","34.1"
"04/02/2025 14:04:55","917","24.1","34"
"04/02/2025 14:06:11","874","24.1","34"
"04/02/2025 14:11:10","876","24.2","33.9"
"04/02/2025 14:16:10","908","24.1","34"
"04/02/2025 14:21:09","911","24","34"
"04/02/2025 14:26:10","903","24.1","33.9"
"04/02/2025 14:31:10","885","24","33.9"
"04/02/2025 14:36:10","913","24","33.9"
"04/02/2025 14:41:09","886","23.9","33.9"
"04/02/2025 14:46:08","881","23.9","33.9"
"04/02/2025 14:51:09","913","23.8","34.1"
"04/02/2025 14:56:08","870","23.6","34.1"
"04/02/2025 15:01:08","902","23.5","34.2"
"04/02/2025 15:04:53","888","23.6","34.1"
"04/02/2025 15:06:09","905","23.6","34.1"
"04/02/2025 15:11:08","879","23.6","34.1"
"04/02/2025 15:16:08","900","23.6","34.2"
"04/02/2025 15:21:08","875","23.9","33.9"
"04/02/2025 15:26:07","905","23.8","34.1"
"04/02/2025 15:31:08","906","23.7","34"
"04/02/2025 15:36:08","906","23.8","34"
"04/02/2025 15:41:08","911","23.7","34"
"04/02/2025 15:46:07","900","23.9","33.8"
"04/02/2025 15:51:07","896","23.9","33.8"
"04/02/2025 15:56:07","905","23.9","33.7"
"04/02/2025 16:01:08","887","24","33.7"
"04/02/2025 16:04:52","896","24.1","33.6"
"04/02/2025 16:06:07","882","24.1","33.5"
"04/02/2025 16:11:07","909","24.1","33.5"
"04/02/2025 16:16:07","900","24.2","33.5"
"04/02/2025 16:21:07","886","24.2","33.5"
"04/02/2025 16:26:06","901","24.3","33.4"
"04/02/2025 16:31:06","879","24.3","33.4"
"04/02/2025 16:36:05","900","24.3","33.3"
"04/02/2025 16:41:07","884","24.4","33.2"
"04/02/2025 16:46:05","884","24.4","33.3"
"04/02/2025 16:51:06","893","24.5","33.2"
"04/02/2025 16:56:05","883","24.5","33.3"
"04/02/2025 17:01:07","885","24.4","33.3"
"04/02/2025 17:04:49","912","24.4","33.4"
"04/02/2025 17:06:05","890","24.4","33.4"
"04/02/2025 17:11:05","909","24.6","33.3"
"04/02/2025 17:16:05","881","24.4","33.4"
"04/02/2025 17:21:04","882","24.5","33.4"
"04/02/2025 17:26:04","877","24.4","33.5"
"04/02/2025 17:31:03","884","24.5","33.5"
"04/02/2025 17:36:03","908","24.5","33.4"
"04/02/2025 17:41:02","893","24.5","33.4"
"04/02/2025 17:46:03","903","24.5","33.4"
"04/02/2025 17:51:02","874","24.5","33.4"
"04/02/2025 17:56:03","872","24.6","33.4"
"04/02/2025 18:01:04","875","24.6","33.3"
"04/02/2025 18:04:48","967","24.6","33.3"
"04/02/2025 18:06:02","894","24.6","33.3"
"04/02/2025 18:11:02","883","24.6","33.3"
"04/02/2025 18:16:01","881","24.7","33.2"
"04/02/2025 18:21:02","889","24.6","33.3"
"04/02/2025 18:26:02","869","24.6","33.3"
"04/02/2025 18:31:03","872","24.7","33.2"
"04/02/2025 18:36:04","882","24.7","33.2"
"04/02/2025 18:40:41","875","24.6","33.2"
"04/02/2025 18:45:40","871","24.6","33.3"
"04/02/2025 18:50:40","877","24.5","33.3"
"04/02/2025 18:55:41","861","24.7","33.2"
"04/02/2025 19:00:40","889","24.7","33.2"
"04/02/2025 19:05:40","881","24.8","33.1"
"04/02/2025 19:10:41","880","24.7","33.2"
"04/02/2025 19:15:40","871","24.7","33.2"
"04/02/2025 19:20:40","869","24.7","33.2"
"04/02/2025 19:25:42","871","24.7","33.2"
"04/02/2025 19:30:39","870","24.6","33.2"
"04/02/2025 19:35:40","882","24.6","33.2"
"04/02/2025 19:40:40","886","24.7","33.2"
"04/02/2025 19:45:39","888","24.7","33.1"
"04/02/2025 19:50:39","873","24.7","33.1"
"04/02/2025 19:55:40","881","24.7","33.1"
"04/02/2025 20:00:40","880","24.7","33.1"
"04/02/2025 20:05:39","878","24.7","33.2"
"04/02/2025 20:10:39","877","24.7","33"
"04/02/2025 20:15:39","889","24.8","33"
"04/02/2025 20:20:39","884","24.8","33"
"04/02/2025 20:25:39","878","24.8","33"
"04/02/2025 20:30:40","909","24.8","33"
"04/02/2025 20:35:41","875","24.7","33"
"04/02/2025 20:40:40","880","24.7","33"
"04/02/2025 20:45:40","871","24.7","33"
"04/02/2025 20:50:40","877","24.7","33.1"
"04/02/2025 20:55:40","872","24.7","33"
"04/02/2025 21:00:41","877","24.7","33"
"04/02/2025 21:05:40","917","24.6","33"
"04/02/2025 21:10:41","883","24.6","33"
"04/02/2025 21:15:40","884","24.7","33"
"04/02/2025 21:20:39","874","24.7","33"
"04/02/2025 21:25:39","894","24.7","32.9"
"04/02/2025 21:30:39","889","24.7","32.9"
"04/02/2025 21:35:40","897","24.7","32.9"
"04/02/2025 21:40:40","872","24.6","33"
"04/02/2025 21:45:39","878","24.6","33"
"04/02/2025 21:50:39","888","24.6","32.9"
"04/02/2025 21:55:39","881","24.6","33"
"04/02/2025 22:00:40","887","24.6","33"
